title,release_date_rt,year,genres_rt,rating_rt_audience
bucket of blood,1959-10-21,1959,"['Comedy', 'Horror', 'Mystery & Suspense']",68.0
bucky larson born to be a star,2011-09-09,2011,['Comedy'],25.0
buddy holly story,1978-01-01,1978,"['Drama', 'Musical & Performing Arts']",77.0
buddymoon,2016-06-30,2016,['Comedy'],58.0
budrus,2010-10-08,2010,"['Action & Adventure', 'Art House & International', 'Documentary', 'Drama', 'Special Interest']",91.0
buena vista social club adios,2017-05-26,2017,['Documentary'],73.0
buffalo 66,1998-06-26,1998,"['Art House & International', 'Comedy', 'Drama']",88.0
buffalo bill and the indians or sitting bulls history lesson,1976-06-24,1976,"['Classics', 'Comedy', 'Western']",49.0
buffalo boys,2019-01-11,2019,"['Action & Adventure', 'Art House & International']",39.0
buffalo girls,2012-11-14,2012,"['Documentary', 'Special Interest']",53.0
buffalo soldiers,2001-01-01,2001,"['Comedy', 'Drama', 'Mystery & Suspense']",72.0
buffy the vampire slayer,1992-07-31,1992,"['Action & Adventure', 'Comedy', 'Horror']",43.0
bug,2006-09-25,2006,"['Drama', 'Mystery & Suspense']",34.0
bugs,2003-07-25,2003,"['Art House & International', 'Documentary']",58.0
bugs life,1998-11-20,1998,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']",73.0
bugsy,1991-12-13,1991,['Drama'],69.0
bugsy malone,1976-09-12,1976,"['Comedy', 'Drama', 'Kids & Family', 'Musical & Performing Arts']",81.0
bukowski born into this,2003-01-18,2003,"['Documentary', 'Special Interest']",89.0
bull,2020-03-20,2020,['Drama'],70.0
bull durham,1988-06-15,1988,"['Comedy', 'Drama', 'Romance']",82.0
bullet,,,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",13.0
bullet head,2017-12-08,2017,['Drama'],31.0
bullet to the head,2013-02-01,2013,"['Action & Adventure', 'Mystery & Suspense']",39.0
bulletproof heart,1995-06-01,1995,"['Drama', 'Mystery & Suspense']",64.0
bulletproof monk,2003-04-16,2003,"['Action & Adventure', 'Comedy']",38.0
bullitt,1968-10-17,1968,"['Action & Adventure', 'Classics', 'Drama', 'Mystery & Suspense']",85.0
bully,2001-07-13,2001,"['Art House & International', 'Drama']",69.0
bully,2012-04-13,2012,"['Documentary', 'Special Interest']",78.0
bulworth,1998-05-22,1998,"['Comedy', 'Drama', 'Romance']",68.0
bumblebee,2018-12-21,2018,"['Action & Adventure', 'Science Fiction & Fantasy']",74.0
bunny and the bull,,,"['Comedy', 'Science Fiction & Fantasy']",65.0
bunny lake is missing,1965-10-03,1965,"['Classics', 'Drama', 'Mystery & Suspense']",78.0
bunraku,2011-09-30,2011,"['Action & Adventure', 'Drama']",49.0
bunty aur babli,2005-05-27,2005,"['Action & Adventure', 'Art House & International', 'Comedy', 'Drama', 'Musical & Performing Arts', 'Romance']",77.0
burden,2017-05-05,2017,['Documentary'],93.0
burden,2020-02-28,2020,['Drama'],97.0
burden of dreams,1982-01-01,1982,"['Documentary', 'Musical & Performing Arts', 'Television']",91.0
buried,2010-09-24,2010,['Mystery & Suspense'],65.0
burke and hare,2011-09-09,2011,"['Art House & International', 'Comedy', 'Mystery & Suspense']",35.0
burlesque,2010-11-24,2010,"['Drama', 'Musical & Performing Arts', 'Romance']",64.0
burma vj reporter i et lukket land burma vj reporting from a closed country,2008-11-12,2008,"['Art House & International', 'Documentary', 'Special Interest']",91.0
burn,1969-12-21,1969,['Drama'],81.0
burn,2012-11-02,2012,"['Documentary', 'Special Interest']",91.0
burn,2019-08-23,2019,['Mystery & Suspense'],44.0
burn after reading,2008-08-27,2008,"['Comedy', 'Drama']",65.0
burn country,2016-12-09,2016,['Drama'],41.0
night of the eagle burn witch burn,1962-04-25,1962,['Horror'],65.0
burn your maps,2019-06-21,2019,"['Action & Adventure', 'Comedy', 'Drama']",82.0
burning palms,2011-01-14,2011,"['Comedy', 'Drama']",35.0
burning beoning,2018-10-26,2018,"['Art House & International', 'Drama', 'Mystery & Suspense']",80.0
burning annie,2003-03-08,2003,"['Art House & International', 'Comedy', 'Drama']",38.0
burning blue,2014-06-06,2014,"['Drama', 'Romance']",52.0
burning dog,,,"['Action & Adventure', 'Comedy', 'Mystery & Suspense']",
burning man,2012-07-27,2012,"['Art House & International', 'Comedy', 'Drama', 'Romance']",64.0
burning plain,2009-09-18,2009,"['Drama', 'Romance']",56.0
burning sands,2017-03-10,2017,['Drama'],60.0
burnt,2015-10-30,2015,['Comedy'],44.0
burnt by the sun,1994-05-21,1994,"['Art House & International', 'Comedy', 'Drama']",94.0
burnt offerings,1976-01-01,1976,['Horror'],43.0
burton and taylor,,,['Drama'],61.0
burts buzz,2014-06-06,2014,"['Documentary', 'Special Interest']",49.0
burying the ex,2015-06-19,2015,"['Comedy', 'Horror', 'Romance']",30.0
busco novio para mi mujer,2016-02-19,2016,['Comedy'],68.0
bushwick,2017-08-25,2017,"['Action & Adventure', 'Drama']",31.0
business of being born,2008-01-09,2008,"['Documentary', 'Special Interest']",85.0
business of strangers,2001-12-07,2001,['Drama'],51.0
busters mal heart,2017-04-28,2017,"['Drama', 'Mystery & Suspense']",56.0
bustin loose,1981-05-22,1981,"['Action & Adventure', 'Comedy']",61.0
but im a cheerleader,2000-06-23,2000,['Comedy'],74.0
butcher boy,1997-07-13,1997,"['Comedy', 'Drama']",82.0
butcher boys,2013-09-06,2013,"['Action & Adventure', 'Horror']",20.0
soga the butchers son,2010-08-13,2010,"['Action & Adventure', 'Art House & International', 'Drama']",73.0
butchers wife,1991-10-25,1991,"['Comedy', 'Science Fiction & Fantasy', 'Romance']",29.0
butt boy,,,"['Comedy', 'Mystery & Suspense', 'Science Fiction & Fantasy']",67.0
butter,2012-10-05,2012,"['Comedy', 'Drama']",44.0
butterfield 8,1960-11-04,1960,"['Classics', 'Drama']",57.0
butterflies are free,1972-01-01,1972,"['Classics', 'Comedy', 'Drama', 'Romance']",81.0
butterfly effect,2004-01-23,2004,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",81.0
butterfly girl,2015-02-14,2015,"['Documentary', 'Special Interest']",93.0
butterfly kiss,1996-04-26,1996,"['Art House & International', 'Comedy', 'Drama']",60.0
bwoy,2017-03-31,2017,['Drama'],50.0
by hook or by crook,2002-10-25,2002,"['Comedy', 'Drama', 'Romance', 'Gay & Lesbian', 'Sports & Fitness']",77.0
by the grace of god grace a dieu,2019-10-18,2019,['Drama'],77.0
by the gun,2014-12-05,2014,"['Drama', 'Mystery & Suspense']",19.0
by the sea,2015-11-13,2015,"['Drama', 'Romance']",28.0
byzantium,2013-06-28,2013,"['Art House & International', 'Drama', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",51.0
c word,2016-11-25,2016,['Documentary'],94.0
cabaret,1972-02-13,1972,"['Classics', 'Drama', 'Musical & Performing Arts']",87.0
cabaret balkan bure baruta,1999-07-23,1999,"['Art House & International', 'Comedy', 'Drama']",85.0
cabin boy,1994-01-07,1994,['Comedy'],42.0
cabin fever,2016-02-12,2016,['Horror'],12.0
cabin fever 3 patient zero,2014-08-01,2014,"['Horror', 'Mystery & Suspense']",14.0
cabin in the sky,1943-04-09,1943,"['Classics', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy']",81.0
cabiria,1914-06-01,1914,"['Art House & International', 'Classics', 'Drama']",69.0
cable guy,1996-06-14,1996,['Comedy'],51.0
cache,2005-12-23,2005,"['Art House & International', 'Drama', 'Mystery & Suspense']",78.0
cactus flower,1969-01-01,1969,"['Classics', 'Comedy']",81.0
caddyshack,1980-07-25,1980,"['Comedy', 'Special Interest']",87.0
caddyshack ii,1988-07-22,1988,['Comedy'],18.0
cadence,1989-06-01,1989,"['Drama', 'Mystery & Suspense']",70.0
cadillac records,2008-12-05,2008,"['Drama', 'Musical & Performing Arts']",65.0
caesar must die,2013-02-06,2013,"['Art House & International', 'Documentary', 'Drama', 'Musical & Performing Arts', 'Special Interest']",74.0
cafe de flore,2012-11-02,2012,"['Art House & International', 'Drama']",76.0
cafe society,2016-07-15,2016,"['Comedy', 'Romance']",56.0
caffeine,2007-03-16,2007,['Comedy'],39.0
caine mutiny,1954-06-24,1954,"['Action & Adventure', 'Classics', 'Drama', 'Mystery & Suspense', 'Romance']",87.0
cairo time,2010-08-06,2010,"['Art House & International', 'Drama', 'Romance']",62.0
cake,2015-01-23,2015,['Drama'],44.0
calendar girls,2003-12-19,2003,"['Comedy', 'Special Interest']",67.0
calibre,,,['Mystery & Suspense'],74.0
california dreamin nesfarsit endless,2007-05-26,2007,"['Art House & International', 'Comedy', 'Documentary', 'Drama']",82.0
california solo,2012-11-30,2012,"['Comedy', 'Drama']",54.0
california split,1974-08-07,1974,"['Classics', 'Comedy', 'Drama']",83.0
california suite,1978-12-15,1978,"['Comedy', 'Romance']",45.0
california typewriter,2017-08-18,2017,['Documentary'],83.0
call me by your name,2018-01-19,2018,"['Drama', 'Romance']",86.0
call me kuchu,2013-06-14,2013,"['Documentary', 'Drama', 'Special Interest']",89.0
call me lucky,2015-08-07,2015,['Documentary'],80.0
call northside 777,1948-02-01,1948,"['Classics', 'Drama', 'Mystery & Suspense']",73.0
callas forever,2004-11-05,2004,"['Drama', 'Musical & Performing Arts']",54.0
calle 54,2001-05-11,2001,"['Art House & International', 'Documentary', 'Drama', 'Musical & Performing Arts']",87.0
calling all earthlings,2018-06-29,2018,['Documentary'],100.0
calvary,2014-08-01,2014,"['Art House & International', 'Comedy', 'Drama']",80.0
calvin marshall,2010-08-20,2010,"['Comedy', 'Romance']",41.0
cam,2018-11-16,2018,"['Horror', 'Mystery & Suspense']",54.0
cam2cam,2014-08-22,2014,"['Horror', 'Mystery & Suspense']",7.0
cameraman the life and work of jack cardiff,2011-05-13,2011,"['Documentary', 'Television']",91.0
cameraperson,2016-09-09,2016,['Documentary'],68.0
camilla,1994-11-25,1994,"['Action & Adventure', 'Art House & International', 'Comedy', 'Drama']",39.0
camille claudel,1988-12-07,1988,"['Art House & International', 'Drama']",88.0
camille claudel 1915,2013-10-16,2013,['Drama'],48.0
camino,2016-03-04,2016,['Action & Adventure'],20.0
camp,2003-07-25,2003,"['Comedy', 'Musical & Performing Arts']",68.0
camp rock 2 the final jam,,,"['Kids & Family', 'Musical & Performing Arts', 'Television']",55.0
camp cold brook,2020-02-14,2020,"['Horror', 'Mystery & Suspense']",39.0
camp nowhere,1994-08-26,1994,"['Action & Adventure', 'Comedy', 'Kids & Family']",58.0
camp rock,2008-06-20,2008,"['Comedy', 'Kids & Family', 'Musical & Performing Arts', 'Television', 'Romance']",75.0
camp xray,2014-10-17,2014,['Drama'],63.0
campfire,2004-02-10,2004,"['Art House & International', 'Drama']",75.0
can we take a joke,2016-07-29,2016,['Documentary'],76.0
can you keep a secret,2019-09-13,2019,['Comedy'],38.0
canadian bacon,1995-09-22,1995,['Comedy'],52.0
canary kanarie,,,"['Drama', 'Musical & Performing Arts']",100.0
candidate,1972-08-23,1972,"['Classics', 'Drama']",74.0
candy,2006-11-17,2006,"['Drama', 'Romance']",77.0
candy corn,,,['Horror'],25.0
candy jar,2018-04-27,2018,['Comedy'],67.0
candyman,1992-10-16,1992,['Horror'],62.0
candyman farewell to the flesh,1994-06-01,1994,['Horror'],30.0
cane river,2020-02-07,2020,"['Drama', 'Romance']",38.0
caniba,2018-10-19,2018,['Documentary'],33.0
cannery row,1982-02-12,1982,"['Classics', 'Comedy', 'Drama', 'Romance']",71.0
cannes man,1995-06-01,1995,['Comedy'],45.0
cannibal,2014-07-25,2014,"['Art House & International', 'Mystery & Suspense']",35.0
cannibal ferox,1981-04-24,1981,['Horror'],44.0
cannibal holocaust,1979-01-01,1979,['Horror'],62.0
cannibal the musical alferd packer the musical,1996-06-01,1996,"['Comedy', 'Horror']",82.0
cannonball run ii,1984-06-29,1984,"['Action & Adventure', 'Comedy']",45.0
canoa,1975-12-31,1975,"['Art House & International', 'Drama']",88.0
canopy,2014-08-29,2014,['Drama'],33.0
cant buy me love,1987-08-14,1987,"['Comedy', 'Romance']",74.0
cant hardly wait,1998-06-12,1998,['Comedy'],63.0
cant stand losing you,2015-03-20,2015,"['Documentary', 'Musical & Performing Arts']",62.0
cant stop the music,1980-01-01,1980,"['Cult Movies', 'Musical & Performing Arts']",37.0
cant stop wont stop a bad boy story,,,['Documentary'],44.0
i cant think straight,2008-06-01,2008,"['Drama', 'Romance']",62.0
cantinflas,2014-08-29,2014,['Drama'],67.0
capernaum capharnaum,2018-12-14,2018,['Drama'],92.0
capital,2013-10-25,2013,['Drama'],46.0
capital in the twentyfirst century,2020-04-03,2020,['Documentary'],78.0
capitalism a love story,2009-09-23,2009,"['Documentary', 'Special Interest']",74.0
capone,2020-05-12,2020,['Drama'],25.0
capricorn one,1978-05-02,1978,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",57.0
captain abu raed,2007-12-11,2007,"['Art House & International', 'Drama']",79.0
captain america,1990-12-14,1990,"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']",16.0
captain america civil war,2016-05-06,2016,"['Action & Adventure', 'Science Fiction & Fantasy']",89.0
captain america the first avenger,2011-07-22,2011,"['Action & Adventure', 'Mystery & Suspense']",74.0
captain america the winter soldier,2014-04-04,2014,"['Action & Adventure', 'Science Fiction & Fantasy']",92.0
captain corellis mandolin,2001-08-17,2001,"['Drama', 'Romance']",50.0
captain fantastic,2016-07-08,2016,['Drama'],85.0
captain horatio hornblower,1951-09-13,1951,"['Action & Adventure', 'Classics', 'Drama']",77.0
captain january,1936-09-11,1936,"['Action & Adventure', 'Classics', 'Comedy', 'Drama', 'Musical & Performing Arts']",75.0
captain kidd,1945-01-01,1945,"['Action & Adventure', 'Classics', 'Drama']",48.0
captain marvel,2019-03-08,2019,"['Action & Adventure', 'Science Fiction & Fantasy']",47.0
captain phillips,2013-10-11,2013,['Drama'],89.0
captain ron,1992-09-18,1992,['Comedy'],52.0
captain underpants the first epic movie captain underpants,2017-06-02,2017,"['Animation', 'Comedy']",61.0
captive,2015-09-18,2015,"['Drama', 'Mystery & Suspense', 'Special Interest']",43.0
captive state,2019-03-15,2019,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",37.0
captivity,2007-07-13,2007,"['Horror', 'Mystery & Suspense']",23.0
capture the flag,,,"['Action & Adventure', 'Animation', 'Art House & International', 'Comedy']",42.0
capturing the friedmans,2003-06-13,2003,"['Documentary', 'Special Interest']",89.0
car wash,1976-10-22,1976,"['Comedy', 'Drama', 'Romance']",61.0
caramel,2008-02-01,2008,"['Comedy', 'Drama', 'Romance']",81.0
carbon nation,2011-02-11,2011,"['Documentary', 'Special Interest']",76.0
cardboard boxer,2016-09-16,2016,['Drama'],54.0
cardinal,1963-12-12,1963,"['Classics', 'Documentary', 'Drama', 'Special Interest']",67.0
care bears movie,1985-12-31,1985,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",58.0
career opportunities,1991-03-29,1991,['Comedy'],37.0
careful,1993-08-27,1993,"['Comedy', 'Drama', 'Special Interest']",81.0
careful what you wish for,2016-06-10,2016,"['Drama', 'Mystery & Suspense']",61.0
cargo,2011-10-21,2011,"['Art House & International', 'Drama', 'Mystery & Suspense']",33.0
cargo,,,"['Drama', 'Mystery & Suspense']",65.0
carlitos way,1993-01-01,1993,['Drama'],91.0
carlitos way rise to power,2005-09-30,2005,"['Action & Adventure', 'Drama']",50.0
carlos,2010-10-15,2010,"['Art House & International', 'Classics', 'Drama', 'Television']",85.0
carmen lola carmen y lola,,,['Drama'],59.0
carmen jones,1954-10-05,1954,"['Classics', 'Drama', 'Musical & Performing Arts']",78.0
carnage,2011-12-16,2011,"['Comedy', 'Drama']",66.0
carnage park,2016-07-01,2016,['Mystery & Suspense'],29.0
carnal knowledge,1971-06-30,1971,"['Classics', 'Comedy', 'Drama']",72.0
carol,2015-11-20,2015,"['Drama', 'Romance']",74.0
carol channing larger than life,2012-01-20,2012,"['Documentary', 'Musical & Performing Arts', 'Television']",87.0
carousel,1956-02-16,1956,"['Drama', 'Horror', 'Musical & Performing Arts', 'Romance']",61.0
carpetbaggers,1964-04-09,1964,"['Classics', 'Drama', 'Romance']",64.0
carpool,1996-08-23,1996,['Comedy'],39.0
carrie,2013-10-18,2013,['Horror'],44.0
carrie,1952-01-01,1952,"['Classics', 'Drama', 'Romance']",59.0
carrie pilby,2017-03-31,2017,['Comedy'],73.0
carrington,1995-11-10,1995,"['Drama', 'Romance']",74.0
carry on camping,1969-01-01,1969,"['Classics', 'Comedy']",78.0
cars,2006-06-09,2006,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family']",79.0
cars 2,2011-06-24,2011,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family']",49.0
cars 3,2017-06-16,2017,"['Animation', 'Comedy', 'Kids & Family']",69.0
cartel land,2015-07-03,2015,['Documentary'],82.0
carter june,2018-05-18,2018,['Comedy'],33.0
cas dylan,2015-05-01,2015,"['Art House & International', 'Comedy', 'Drama']",62.0
casa de los babys,2003-09-19,2003,['Drama'],50.0
casa de mi padre,2012-03-16,2012,"['Art House & International', 'Comedy']",35.0
casanova variations,,,"['Drama', 'Science Fiction & Fantasy']",40.0
case 39,2010-10-01,2010,"['Horror', 'Mystery & Suspense']",39.0
caseys shadow,1978-03-17,1978,"['Action & Adventure', 'Comedy', 'Drama', 'Kids & Family']",73.0
cash,2007-08-03,2007,"['Action & Adventure', 'Art House & International', 'Mystery & Suspense']",38.0
cashback,2007-04-20,2007,"['Comedy', 'Drama', 'Romance']",77.0
casino jack,2010-12-17,2010,"['Comedy', 'Drama', 'Mystery & Suspense']",34.0
casino jack and the united states of money,2010-05-07,2010,"['Documentary', 'Special Interest']",80.0
casino royale,2006-11-17,2006,"['Action & Adventure', 'Mystery & Suspense']",89.0
casper,1995-05-26,1995,"['Drama', 'Kids & Family', 'Science Fiction & Fantasy']",49.0
casper a spirited beginning,1997-09-09,1997,"['Comedy', 'Kids & Family', 'Television']",41.0
cassadaga,2013-10-11,2013,"['Horror', 'Mystery & Suspense']",24.0
cassandras dream,2007-10-08,2007,"['Art House & International', 'Drama', 'Mystery & Suspense']",49.0
cast away,2000-12-22,2000,"['Action & Adventure', 'Drama']",84.0
casting about,2007-05-11,2007,"['Comedy', 'Documentary', 'Television']",0.0
casting by,2013-11-01,2013,"['Documentary', 'Special Interest', 'Television']",79.0
castle freak,,,"['Cult Movies', 'Horror']",45.0
castle in the ground,,,['Drama'],70.0
castle in the sky,1989-04-01,1989,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']",91.0
castle keep,1969-07-23,1969,"['Action & Adventure', 'Classics', 'Drama', 'Science Fiction & Fantasy', 'Romance']",50.0
casual sex,1988-04-22,1988,"['Comedy', 'Romance']",29.0
casualties of war,1989-01-01,1989,"['Action & Adventure', 'Drama']",75.0
cat ballou,1965-06-24,1965,"['Classics', 'Comedy', 'Musical & Performing Arts', 'Western']",74.0
cat chaser,1989-04-01,1989,"['Action & Adventure', 'Mystery & Suspense']",15.0
dr seuss the cat in the hat,2003-11-21,2003,"['Comedy', 'Kids & Family']",51.0
cat run,2011-04-01,2011,"['Action & Adventure', 'Comedy', 'Drama']",33.0
catch22,1970-06-24,1970,"['Classics', 'Comedy', 'Drama']",76.0
catch a fire,2006-10-27,2006,"['Drama', 'Musical & Performing Arts', 'Mystery & Suspense']",71.0
catch and release,2007-01-26,2007,"['Comedy', 'Drama', 'Romance']",55.0
catch hell,2014-10-10,2014,"['Drama', 'Mystery & Suspense']",32.0
catch me if you can,2002-12-25,2002,"['Action & Adventure', 'Drama']",89.0
catch that kid,2004-02-06,2004,"['Action & Adventure', 'Kids & Family']",47.0
catchfire backtrack,1990-12-31,1990,"['Action & Adventure', 'Comedy', 'Mystery & Suspense']",25.0
catching feelings,2018-05-18,2018,"['Comedy', 'Romance']",59.0
catching out,2003-01-11,2003,"['Documentary', 'Special Interest']",
caterina in the big city,2003-01-01,2003,"['Art House & International', 'Comedy', 'Drama']",77.0
caterpillar,2011-05-06,2011,"['Art House & International', 'Drama']",53.0
catfight,2017-03-03,2017,['Comedy'],43.0
catfish,2010-09-17,2010,"['Documentary', 'Drama', 'Special Interest']",71.0
cats,2019-12-20,2019,"['Comedy', 'Drama', 'Musical & Performing Arts']",53.0
cats dogs,2001-07-04,2001,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Romance']",32.0
cats dogs the revenge of kitty galore,2010-07-30,2010,"['Action & Adventure', 'Comedy', 'Kids & Family']",38.0
cats dont dance,1997-03-28,1997,"['Animation', 'Kids & Family']",80.0
stephen kings cats eye,1985-04-12,1985,"['Comedy', 'Horror', 'Mystery & Suspense']",50.0
cats meow,2001-08-03,2001,"['Comedy', 'Drama']",51.0
cats the musical,1998-10-27,1998,"['Art House & International', 'Musical & Performing Arts']",80.0
catwalk tales from the cat show circuit,,,['Documentary'],75.0
catwoman,2004-07-23,2004,"['Action & Adventure', 'Drama']",18.0
caught,2018-03-30,2018,"['Art House & International', 'Horror']",29.0
caught inside,,,"['Action & Adventure', 'Art House & International', 'Drama', 'Mystery & Suspense']",35.0
caught up,1998-02-27,1998,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",55.0
cautiva,2006-12-08,2006,"['Art House & International', 'Drama']",81.0
cavalcade,1933-01-01,1933,"['Classics', 'Drama', 'Romance']",26.0
cave,2005-08-26,2005,"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']",28.0
cave of forgotten dreams,2011-04-29,2011,"['Documentary', 'Special Interest']",73.0
cave of the yellow dog die hohle des gelben hundes,2005-07-28,2005,"['Art House & International', 'Drama', 'Special Interest']",88.0
caveman,1981-04-17,1981,"['Action & Adventure', 'Comedy', 'Musical & Performing Arts', 'Science Fiction & Fantasy']",54.0
cavemen,2014-02-07,2014,"['Comedy', 'Romance']",58.0
cb4,1993-03-12,1993,['Comedy'],62.0
cbgb,2013-10-11,2013,"['Drama', 'Musical & Performing Arts']",42.0
cecil b demented,2000-08-11,2000,['Comedy'],67.0
cedar rapids,2011-02-11,2011,['Comedy'],59.0
celeste and jesse forever,2012-08-03,2012,"['Comedy', 'Drama']",62.0
celine through the eyes of the world,2010-02-17,2010,"['Documentary', 'Musical & Performing Arts', 'Special Interest']",78.0
cell,2016-07-08,2016,['Horror'],17.0
cell 213,2011-06-10,2011,['Horror'],20.0
cellmates,2012-06-01,2012,['Comedy'],63.0
cellular,2004-09-10,2004,"['Action & Adventure', 'Mystery & Suspense']",59.0
celluloid closet,1996-03-15,1996,"['Documentary', 'Television', 'Gay & Lesbian']",89.0
celtic pride,1996-04-19,1996,['Comedy'],31.0
cemetery club,1993-02-03,1993,"['Comedy', 'Documentary']",32.0
cemetery junction,2010-04-14,2010,['Comedy'],63.0
center of the world,2001-04-18,2001,"['Art House & International', 'Drama', 'Romance']",41.0
center stage,2000-05-12,2000,"['Drama', 'Musical & Performing Arts']",82.0
centigrade,2020-08-28,2020,['Mystery & Suspense'],41.0
central station central do brasil,1998-11-20,1998,"['Art House & International', 'Drama']",95.0
central intelligence,2016-06-17,2016,"['Action & Adventure', 'Comedy']",61.0
centurion,2010-08-27,2010,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",43.0
ceremony,2011-04-08,2011,['Comedy'],31.0
certain women,2016-10-14,2016,['Drama'],51.0
certified copy copie conforme,2011-03-11,2011,"['Art House & International', 'Drama']",70.0
cesar chavez,2014-03-28,2014,['Drama'],60.0
chain letter,2010-10-01,2010,"['Horror', 'Mystery & Suspense']",45.0
chain of death,,,"['Horror', 'Mystery & Suspense']",
chained,,,['Mystery & Suspense'],53.0
chairman of the board,1997-06-01,1997,['Comedy'],21.0
chak de india,2007-08-10,2007,"['Art House & International', 'Drama']",92.0
chalet girl,2011-10-14,2011,"['Art House & International', 'Comedy']",53.0
chalk,2007-02-09,2007,"['Comedy', 'Drama']",61.0
chamber,1996-10-11,1996,"['Drama', 'Mystery & Suspense']",39.0
chameleon,,,['Mystery & Suspense'],80.0
champs,2015-03-13,2015,"['Documentary', 'Special Interest']",95.0
chan is missing,1982-06-04,1982,"['Art House & International', 'Comedy']",76.0
chances are,1989-03-10,1989,"['Comedy', 'Science Fiction & Fantasy', 'Romance']",65.0
chandni chowk to china,2009-01-16,2009,"['Action & Adventure', 'Art House & International', 'Comedy', 'Drama']",31.0
change in the air,2018-10-19,2018,['Drama'],50.0
changeland,2019-06-07,2019,"['Comedy', 'Drama']",58.0
changeling,1980-03-28,1980,"['Horror', 'Mystery & Suspense']",79.0
changing lanes,2002-04-12,2002,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",53.0
changing the game,2012-05-11,2012,['Drama'],78.0
chaos theory,2008-04-11,2008,"['Comedy', 'Drama']",58.0
chaplin,1992-12-18,1992,['Drama'],81.0
chappaquiddick,2018-04-06,2018,['Mystery & Suspense'],68.0
chappie,2015-03-06,2015,['Action & Adventure'],56.0
charge of the light brigade,1936-01-01,1936,"['Action & Adventure', 'Classics', 'Drama']",59.0
chariots of fire,1981-09-25,1981,"['Art House & International', 'Drama', 'Sports & Fitness']",80.0
charley varrick,1973-09-19,1973,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",82.0
charlie and the chocolate factory,2005-07-15,2005,"['Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",51.0
charlie bartlett,2007-05-01,2007,['Comedy'],71.0
charlie brown christmas,1965-01-01,1965,"['Animation', 'Comedy', 'Kids & Family']",
charlie brown thanksgiving,2003-01-01,2003,"['Animation', 'Drama', 'Kids & Family']",75.0
charlie casanova,,,['Drama'],41.0
charlie chan and the curse of the dragon queen,1981-02-01,1981,"['Action & Adventure', 'Comedy', 'Mystery & Suspense']",32.0
charlie countryman,2013-11-15,2013,"['Action & Adventure', 'Comedy']",49.0
charlie says,2019-05-10,2019,['Drama'],70.0
charlie st cloud,2010-07-30,2010,['Drama'],60.0
charlie wilsons war,2007-12-21,2007,"['Comedy', 'Drama']",73.0
charlies angels,2000-11-03,2000,"['Action & Adventure', 'Comedy']",45.0
charlies angels,2019-11-14,2019,"['Action & Adventure', 'Comedy']",78.0
charlies angels full throttle,2003-06-27,2003,"['Action & Adventure', 'Comedy']",40.0
charlotte gray,2002-01-11,2002,"['Drama', 'Romance']",62.0
look,2011-11-04,2011,"['Documentary', 'Special Interest', 'Television']",52.0
charlottes web,2006-12-15,2006,"['Animation', 'Drama', 'Kids & Family']",62.0
charm city,2018-10-19,2018,['Documentary'],100.0
charulata,1964-01-01,1964,"['Art House & International', 'Drama', 'Romance']",91.0
chasers,1994-04-22,1994,['Comedy'],21.0
chasing amy,1997-04-04,1997,"['Comedy', 'Romance']",83.0
chasing coral,2017-07-14,2017,['Documentary'],89.0
chasing ice,2012-11-09,2012,"['Documentary', 'Special Interest']",85.0
chasing liberty,2004-01-09,2004,"['Action & Adventure', 'Comedy', 'Drama', 'Romance']",60.0
chasing madoff,2011-08-26,2011,"['Documentary', 'Special Interest']",43.0
chasing mavericks,2012-10-26,2012,['Drama'],70.0
chasing papi,2003-04-16,2003,['Comedy'],40.0
chasing the dragon,2017-09-29,2017,"['Drama', 'Mystery & Suspense']",72.0
chasing trane the john coltrane documentary,2017-04-14,2017,['Documentary'],75.0
chastity bites,2013-11-02,2013,"['Comedy', 'Horror']",51.0
chatroom,,,"['Drama', 'Mystery & Suspense']",35.0
chattahoochee,1989-06-01,1989,['Drama'],51.0
chavela,2017-10-04,2017,['Documentary'],88.0
che part two guerrilla,2008-12-12,2008,['Drama'],66.0
cheap detective,1978-01-01,1978,['Comedy'],58.0
cheap thrills,2014-03-21,2014,"['Comedy', 'Mystery & Suspense']",69.0
cheaper by the dozen,2003-12-25,2003,"['Comedy', 'Kids & Family']",56.0
