title,release_date_meta,year,rating_metacritic
my mother,2005-05-13,2005,35
invasion,2007-08-17,2007,45
step up,2006-08-11,2006,48
assault on precinct 13,2005-01-19,2005,54
rape me,2001-06-01,2001,35
pink panther,2006-02-10,2006,38
when a stranger calls,2006-02-03,2006,27
league of extraordinary gentlemen,2003-07-11,2003,30
daddys home 2,2017-11-10,2017,30
fisher king,1991-09-20,1991,61
waynes world,1992-02-14,1992,57
lazer team,2016-01-27,2016,42
house that jack built,2018-12-14,2018,42
traitor,2008-08-27,2008,60
shaft,2019-06-14,2019,40
keeping the faith,2000-04-14,2000,60
best offer,2014-01-01,2014,49
super troopers 2,2018-04-20,2018,41
faces places,2017-10-06,2017,94
one for the money,2012-01-27,2012,22
malena,2000-12-25,2000,54
rounders,1998-09-11,1998,54
detachment,2012-03-16,2012,52
condemned,2007-04-27,2007,23
frozen ground,2013-08-23,2013,37
angel has fallen,2019-08-23,2019,45
replicas,2019-01-11,2019,19
dirt,2019-03-22,2019,39
gridiron gang,2006-09-15,2006,52
killing season,2013-07-12,2013,25
romy and micheles high school reunion,1997-04-25,1997,59
tim and erics billion dollar movie,2012-03-02,2012,40
material girls,2006-08-18,2006,17
killer of sheep,2007-03-30,2007,95
manic,2003-04-25,2003,60
another gay movie,2006-07-28,2006,37
wing commander space will never be the same,1999-03-12,1999,21
slackers,2002-02-01,2002,12
imagine me you,2006-01-27,2006,49
sweet home alabama,2002-09-27,2002,45
white noise,2005-01-07,2005,30
freeheld,2015-10-02,2015,50
annie,1982-06-18,1982,39
martian child,2007-11-02,2007,48
father of the bride part ii,1995-12-08,1995,49
honey,2003-12-05,2003,37
father figures,2017-12-22,2017,22
wedding date,2005-02-04,2005,32
mystic pizza,1988-10-14,1988,60
white irish drinkers,2011-03-25,2011,51
bringing down the house,2003-03-07,2003,39
running man,1987-11-13,1987,45
henry poole is here,2008-08-15,2008,44
funny ha ha,2005-04-29,2005,78
beyond borders,2003-10-24,2003,32
heist,2015-11-13,2015,37
ellie parker,2005-11-11,2005,51
judgment at nuremberg,1961-12-18,1961,60
brass teapot,2013-04-05,2013,43
beyond a reasonable doubt,2009-09-11,2009,35
layover,2017-09-01,2017,15
blue room,2014-10-03,2014,73
unknown white male,2006-02-24,2006,65
love sex,2000-08-25,2000,44
juwanna mann,2002-06-21,2002,24
time and tide,2001-05-04,2001,60
oranges,2012-10-05,2012,46
kaena the prophecy,2004-06-25,2004,40
in secret,2014-02-21,2014,47
steel magnolias,1989-11-22,1989,56
in too deep,1999-08-25,1999,53
slice,2018-09-10,2018,61
cowboys angels,2004-09-17,2004,51
spare parts,2015-01-16,2015,50
sorcerer and the white snake,2013-02-08,2013,41
adventurer the curse of the midas box,2014-01-10,2014,39
broken sky,2006-09-29,2006,35
passion play,2011-05-06,2011,22
teenage mutant ninja turtles iii,1993-03-19,1993,40
whats the worst that could happen,2001-06-01,2001,37
my happy family,2017-12-01,2017,86
i am trying to break your heart,2002-07-26,2002,66
thing about my folks,2005-09-16,2005,48
over the top,1987-02-13,1987,40
harold and maude,1971-12-20,1971,62
rising sun,1993-07-30,1993,56
johnny got his gun,2008-10-24,2008,41
indian in the cupboard,1995-07-14,1995,58
walking with the enemy,2014-04-25,2014,44
boys from brazil,1978-10-06,1978,40
knife fight,2013-01-25,2013,34
inside out,2011-09-09,2011,28
only the strong survive,2003-05-09,2003,59
business of fancydancing,2002-10-18,2002,49
watchmen,2009-03-06,2009,56
star wars episode vi return of the jedi,1983-05-25,1983,58
spy,2015-06-05,2015,75
godzilla king of the monsters,2019-05-31,2019,48
sixth sense,1999-08-06,1999,64
need for speed,2014-03-14,2014,39
intouchables,2012-05-25,2012,57
were the millers,2013-08-07,2013,44
identity,2003-04-25,2003,64
gattaca,1997-10-24,1997,64
dogma,1999-11-12,1999,62
alice through the looking glass,2016-05-27,2016,34
another day,2002-11-22,2002,56
rachel getting married,2008-10-03,2008,82
first blood,1982-10-22,1982,61
boy,2016-01-22,2016,42
frailty,2002-04-12,2002,64
wrinkle in time,2018-03-09,2018,53
crank high voltage,2009-04-17,2009,41
mask of zorro,1998-07-17,1998,63
xxx state of the union,2005-04-29,2005,37
faculty,1998-12-25,1998,61
eagle eye,2008-09-26,2008,43
black christmas,2006-12-25,2006,22
producers,2005-12-16,2005,52
slither,2006-03-31,2006,69
no escape,2015-08-26,2015,38
iceman,2013-05-03,2013,60
virtuosity,1995-08-04,1995,39
tomorrow never dies,1997-12-19,1997,52
guardian,2006-09-29,2006,53
vampires,1998-10-30,1998,42
ip man,2010-10-01,2010,59
gift,2000-12-20,2000,62
all about steve,2009-09-04,2009,17
they live,1988-11-04,1988,54
garfield,2004-06-11,2004,27
mirrors,2008-08-15,2008,35
new years eve,2011-12-09,2011,22
cheaper by the dozen,2003-12-25,2003,46
grand piano,2014-03-07,2014,61
varsity blues,1999-01-15,1999,50
scouts guide to the zombie apocalypse,2015-10-30,2015,32
scanners,1981-01-14,1981,60
lost and delirious,2001-07-06,2001,53
pacifier,2005-03-04,2005,30
legends of the fall,1995-01-13,1995,45
what dreams may come,1998-10-02,1998,44
wimbledon,2004-09-17,2004,59
hesher,2011-05-13,2011,45
flowers of war,2011-12-21,2011,46
trespass,2011-10-14,2011,37
when in rome,2010-01-29,2010,25
predator 2,1990-11-21,1990,46
anna,2019-06-21,2019,40
look whos talking,1989-10-13,1989,51
bound,1996-10-04,1996,61
hoodwinked too hood vs evil,2011-04-29,2011,20
my best friends wedding,1997-06-20,1997,50
renaissance,2006-09-22,2006,57
gangster no 1,2002-06-14,2002,60
terminal,2018-05-11,2018,27
colony,2013-09-20,2013,28
ironclad,2011-07-08,2011,42
jersey girl,2004-03-26,2004,43
stomp the yard,2007-01-12,2007,44
see you yesterday,2019-05-17,2019,74
perfect man,2005-06-17,2005,27
we were here,2011-09-09,2011,94
top gun,1986-05-16,1986,50
fired up,2009-02-20,2009,31
life less ordinary,1997-10-24,1997,35
o,2001-08-31,2001,53
souvenir,2019-05-17,2019,92
violet daisy,2013-06-07,2013,43
deck the halls,2006-11-22,2006,28
under the tuscan sun,2003-09-26,2003,52
far and away,1992-05-22,1992,49
beyond the sea,2004-12-17,2004,46
haunted mansion,2003-11-26,2003,34
tulpan,2009-04-01,2009,88
sea of trees,2016-08-26,2016,23
raising helen,2004-05-26,2004,38
restless,2011-09-16,2011,47
ladies man,2000-10-13,2000,22
cabin boy,1994-01-07,1994,21
michael jordan to the max,2000-05-05,2000,57
shadowboxer,2006-07-21,2006,33
greatest game ever played,2005-09-30,2005,55
axl,2018-08-24,2018,29
i hate valentines day,2009-07-03,2009,17
man of the house,2005-02-25,2005,35
did you hear about the morgans,2009-12-18,2009,27
body of war,2008-04-09,2008,60
valmont,1989-11-17,1989,55
walk on the moon,1999-03-26,1999,70
generation wealth,2018-07-20,2018,53
commando,1985-10-04,1985,51
alien outpost,2015-01-30,2015,26
crimson rivers,2001-06-29,2001,49
shipping news,2001-12-25,2001,47
fat albert,2004-12-25,2004,39
last boy scout,1991-12-13,1991,52
xanadu,1980-08-08,1980,35
contracted phase ii,2015-09-04,2015,35
stage beauty,2004-10-08,2004,64
christmas in the clouds,2005-11-04,2005,56
when youre strange,2010-04-09,2010,55
edge of love,2009-03-13,2009,39
guardians,2018-05-04,2018,81
in dubious battle,2017-02-17,2017,43
stander,2004-08-06,2004,62
brother,2001-07-20,2001,47
point blank,2019-07-12,2019,37
chaplin,1993-01-08,1993,47
jiminy glick in lalawood,2005-05-06,2005,41
don verdean,2015-12-11,2015,39
crazy on the outside,2010-01-08,2010,21
lawnmower man,1992-03-06,1992,42
futuro,2013-09-06,2013,80
manhunt,2018-05-04,2018,68
american pimp,2000-06-09,2000,59
bread my sweet,2002-11-08,2002,54
dreamcatcher,2015-03-20,2015,86
death wish,1974-07-24,1974,51
sidewalks of new york,2001-11-21,2001,49
moth diaries,2012-04-20,2012,38
carrie pilby,2017-03-31,2017,52
bel canto,2018-09-14,2018,50
hottest state,2007-08-24,2007,45
nothing bad can happen,2014-06-27,2014,51
one crazy summer,1986-08-08,1986,47
tab hunter confidential,2015-10-16,2015,60
color wheel,2012-05-18,2012,53
gangsters paradise jerusalema,2010-06-11,2010,53
black panther,2018-02-16,2018,88
fight club,1999-10-15,1999,66
seven,1995-09-22,1995,65
pirates of the caribbean the curse of the black pearl,2003-07-09,2003,63
pirates of the caribbean dead men tell no tales,2017-05-26,2017,39
scarface,1983-12-09,1983,65
wedding crashers,2005-07-15,2005,64
pixels,2015-07-24,2015,27
hangover part iii,2013-05-23,2013,30
scream 2,1997-12-12,1997,63
sabans power rangers,2017-03-24,2017,44
professional,1994-11-18,1994,64
home alone,1990-11-16,1990,63
dracula untold,2014-10-10,2014,40
queen,2006-09-30,2006,91
i am number four,2011-02-18,2011,36
ateam,2010-06-11,2010,47
village,2004-07-30,2004,44
transporter 2,2005-09-02,2005,56
youth in revolt,2010-01-08,2010,63
harold kumar go to white castle,2004-07-30,2004,64
saw iv,2007-10-26,2007,36
true lies,1994-07-15,1994,63
doom,2005-10-21,2005,34
underworld awakening,2012-01-20,2012,39
wild hogs,2007-03-02,2007,27
hitch,2005-02-11,2005,58
cure for wellness,2017-02-17,2017,47
antichrist,2009-10-23,2009,49
one missed call,2008-01-04,2008,24
ace ventura when nature calls,1995-11-10,1995,45
ugly truth,2009-07-24,2009,28
apollo 18,2011-09-02,2011,24
lost boys,1987-07-31,1987,63
kindergarten cop,1990-12-21,1990,61
teaching mrs tingle,1999-08-20,1999,35
mr turner,2014-12-19,2014,94
live by night,2016-12-25,2016,49
whale rider,2003-06-06,2003,80
negotiator,1998-07-29,1998,62
save the last dance,2001-01-12,2001,53
american wedding,2003-08-01,2003,43
me myself irene,2000-06-23,2000,49
40 days and 40 nights,2002-03-01,2002,53
kiss of the dragon,2001-07-06,2001,58
finding forrester,2000-12-20,2000,62
why did i get married,2007-10-12,2007,54
in the land of blood and honey,2011-12-23,2011,56
wet hot american summer,2001-07-27,2001,42
evolution,2001-06-08,2001,40
nightwatch,1998-04-17,1998,40
bill teds bogus journey,1991-07-18,1991,60
killer inside me,2010-06-18,2010,53
men women children,2014-10-01,2014,38
best of me,2014-10-17,2014,29
unfinished life,2005-09-09,2005,49
this boys life,1993-04-09,1993,60
old joy,2006-09-20,2006,84
adam,2009-07-29,2009,56
door in the floor,2004-07-14,2004,67
romeo must die,2000-03-22,2000,52
yoga hosers,2016-09-02,2016,23
machine gun preacher,2011-09-23,2011,43
national lampoons vacation,1983-07-29,1983,55
time machine,2002-03-08,2002,42
stepfather,2009-10-16,2009,33
libertine,2005-11-23,2005,44
idlewild,2006-08-25,2006,55
fear x,2005-01-28,2005,61
nativity story,2006-12-01,2006,52
passengers,2008-10-24,2008,40
new in town,2009-01-30,2009,29
dead mans shoes,2006-05-12,2006,52
youth without youth,2007-12-14,2007,43
mona lisa smile,2003-12-19,2003,45
13 sins,2014-04-18,2014,44
man without a face,1993-08-25,1993,62
ledge,2011-07-08,2011,34
orange county,2002-01-11,2002,48
dr dolittle,1998-06-26,1998,46
big bounce,2004-01-30,2004,42
chumscrubber,2005-08-05,2005,41
he got game,1998-05-01,1998,63
street cat named bob,2016-11-18,2016,54
hatchet ii,2010-10-01,2010,49
hearts in atlantis,2001-09-28,2001,55
debut,2001-10-05,2001,60
5 to 7,2015-04-03,2015,52
comedy,2012-11-09,2012,46
its only the end of the world,2017-06-30,2017,48
struck by lightning,2013-01-11,2013,41
1911,2011-10-07,2011,37
erased,2013-05-17,2013,34
surveillance,2009-06-26,2009,31
express,2008-10-10,2008,58
clockstoppers,2002-03-29,2002,40
ted bundy,2002-09-13,2002,37
undead,2005-07-01,2005,34
shes funny that way,2015-08-21,2015,45
lbj,2017-11-03,2017,54
home of the brave,2006-12-15,2006,42
mansome,2012-05-18,2012,35
poetic justice,1993-07-23,1993,51
romance,1999-09-17,1999,49
deep end of the ocean,1999-03-12,1999,45
day,2012-08-29,2012,41
echo in the canyon,2019-05-24,2019,70
short cut to nirvana kumbh mela,2005-01-14,2005,55
city of your final destination,2010-04-16,2010,52
happy tears,2010-02-19,2010,35
thinner,1996-10-25,1996,33
midnight express,1978-10-06,1978,59
trouble with harry,1955-10-03,1955,74
connie and carla,2004-04-16,2004,44
maidan,2014-12-12,2014,86
gerhard richter painting,2012-03-14,2012,77
natural,1984-05-11,1984,61
see no evil hear no evil,1989-05-12,1989,44
haven,2006-09-15,2006,37
more than a game,2009-10-02,2009,59
excalibur,1981-04-10,1981,56
heiresses,2019-01-16,2019,77
1984,1985-03-22,1985,67
wish you were here,2013-06-07,2013,60
unconscious,2006-12-29,2006,59
mercury rising,1998-04-03,1998,37
rain,2002-04-26,2002,71
dark star,1974-04-01,1974,66
pandoras promise,2013-06-12,2013,54
love marilyn,2012-11-30,2012,51
adored,2004-04-02,2004,28
reprisal,2018-08-31,2018,19
neil young journeys,2012-06-29,2012,74
outsider,2006-04-07,2006,64
glastonbury,2007-02-23,2007,60
for no good reason,2014-04-25,2014,56
hawk is dying,2007-03-30,2007,48
assassins bullet,2012-08-03,2012,20
john mcenroe in the realm of perfection,2018-08-22,2018,82
american swing,2009-03-27,2009,59
winter solstice,2005-04-08,2005,59
road to nowhere,2011-06-10,2011,59
second best,2005-05-20,2005,44
boyhood,2014-07-11,2014,100
prestige,2006-10-20,2006,66
american psycho,2000-04-14,2000,64
happening,2008-06-13,2008,34
pokemon detective pikachu,2019-05-10,2019,53
scream,1996-12-20,1996,65
blood diamond,2006-12-08,2006,64
green mile,1999-12-10,1999,61
sideways,2004-10-22,2004,94
glass,2019-01-18,2019,43
accountant,2016-10-14,2016,51
i robot,2004-07-16,2004,59
hellboy,2019-04-12,2019,31
justin biebers believe,2013-12-25,2013,39
gangster squad,2013-01-11,2013,40
last samurai,2003-12-05,2003,55
judge,2014-10-10,2014,48
london has fallen,2016-03-04,2016,28
13 going on 30,2004-04-23,2004,57
land of the dead,2005-06-24,2005,71
jacobs ladder,1990-11-02,1990,62
matador,2005-12-23,2005,65
treasure planet,2002-11-05,2002,60
man on a ledge,2012-01-27,2012,40
atlantis the lost empire,2001-06-08,2001,52
reindeer games,2000-02-25,2000,37
6th day,2000-11-17,2000,49
demolition,2016-04-08,2016,49
music and lyrics,2007-02-14,2007,59
anaconda,1997-04-11,1997,37
point break,1991-07-12,1991,58
rocky horror picture show,1975-09-26,1975,58
boy next door,2015-01-23,2015,30
good luck chuck,2007-09-21,2007,19
cellular,2004-09-10,2004,60
brother bear,2003-10-24,2003,48
step up 2 the streets,2008-02-14,2008,50
crash,1997-03-21,1997,47
doover,2016-05-27,2016,22
grudge 2,2006-10-13,2006,33
fahrenheit 119,2018-09-21,2018,69
fourth kind,2009-11-06,2009,34
safe haven,2013-02-14,2013,34
captivity,2007-07-13,2007,24
x files,1998-06-19,1998,60
bandits,2001-10-12,2001,60
rumble in the bronx,1996-02-23,1996,61
five feet apart,2019-03-15,2019,53
love rosie,2015-02-06,2015,44
high tension,2005-06-10,2005,42
agora,2010-05-28,2010,55
armored,2009-12-04,2009,50
sex drive,2008-10-17,2008,49
walk of shame,2014-05-02,2014,25
kinsey,2004-11-12,2004,79
eight crazy nights,2002-11-27,2002,23
stuck in love,2013-07-05,2013,49
hot chick,2002-12-13,2002,29
arthur and the invisibles,2006-12-29,2006,39
manderlay,2006-01-27,2006,46
dead again,1991-08-23,1991,66
what about bob,1991-05-17,1991,60
dark places,2015-08-07,2015,39
stealth,2005-07-29,2005,35
fits,2016-06-03,2016,90
persecuted,2014-07-18,2014,11
murder by numbers,2002-04-19,2002,50
lot like love,2005-04-22,2005,48
chopper,2001-04-11,2001,65
chorus,2005-01-14,2005,56
made,2001-07-13,2001,62
muriels wedding,1995-03-10,1995,63
saint,1997-04-04,1997,50
what a girl wants,2003-04-04,2003,41
limits of control,2009-05-01,2009,41
two brothers,2004-06-25,2004,63
sound of music,1965-03-02,1965,63
gatekeepers,2013-02-01,2013,91
mad money,2008-01-18,2008,41
left behind,2001-02-02,2001,22
state property,2002-01-18,2002,9
love happens,2009-09-18,2009,33
letters to god,2010-04-09,2010,31
proof of life,2000-12-08,2000,45
debs,2005-03-25,2005,42
butter,2012-10-05,2012,40
mutual appreciation,2006-09-01,2006,84
solace,2016-12-16,2016,36
morvern callar,2002-12-20,2002,78
my one and only,2009-08-21,2009,62
planet bboy,2008-03-21,2008,63
dust to glory,2005-04-01,2005,61
blood ties,2014-03-21,2014,45
young messiah,2016-03-11,2016,33
approaching the unknown,2016-06-03,2016,53
red violin,1999-06-11,1999,57
and so it goes,2014-07-25,2014,38
harry and the hendersons,1987-06-05,1987,42
anna,2014-06-06,2014,42
mysteries of lisbon,2011-08-05,2011,82
way home,2002-11-15,2002,63
bride of chucky,1998-10-16,1998,48
reservation road,2007-10-19,2007,46
illegal tender,2007-08-24,2007,40
slammin salmon,2009-12-11,2009,40
nothing left to fear,2013-10-04,2013,12
vatel,2000-12-25,2000,44
jason goes to hell the final friday,1993-08-13,1993,17
im gonna git you sucka,1988-12-14,1988,48
good bye dragon inn,2004-09-17,2004,82
lake city,2008-11-21,2008,29
wolfen,1981-07-24,1981,64
rory oshea was here,2005-02-04,2005,59
is anybody there,2009-04-17,2009,54
my babys daddy,2004-01-09,2004,23
pauline and paulette,2002-03-15,2002,70
dai si gin,2006-01-27,2006,63
hot spot,1990-10-12,1990,56
desert flower,2011-03-18,2011,54
96 minutes,2012-04-27,2012,51
prefontaine,1997-01-24,1997,56
better off dead,1985-10-11,1985,51
city of ghosts,2003-04-25,2003,57
max,2002-12-27,2002,56
cavemans valentine,2001-03-02,2001,44
reunion,2011-10-21,2011,26
mondays in the sun,2003-07-25,2003,64
outside the law,2010-11-03,2010,59
brother to brother,2004-11-05,2004,57
dallas 362,2005-06-24,2005,55
september tapes,2004-09-24,2004,32
euthanizer,2018-07-20,2018,71
peace propaganda the promised land,2005-01-28,2005,57
image book,2019-01-25,2019,76
only the young,2012-12-07,2012,71
cutthroat island,1995-12-22,1995,37
hobbit an unexpected journey,2012-12-14,2012,58
hurt locker,2009-06-26,2009,95
shutter island,2010-02-19,2010,63
gladiator,2000-05-05,2000,67
tron legacy,2010-12-17,2010,49
shining,1980-05-23,1980,66
hostel,2006-01-06,2006,55
taken,2009-01-30,2009,51
unbreakable,2000-11-22,2000,62
sleepy hollow,1999-11-19,1999,65
prince of persia the sands of time,2010-05-28,2010,50
jurassic park iii,2001-07-18,2001,42
riddick,2013-09-06,2013,49
closer,2004-12-03,2004,65
almost famous,2000-09-13,2000,90
elf,2003-11-07,2003,64
expendables 3,2014-08-15,2014,35
star wars the clone wars,2008-08-15,2008,35
hotel transylvania,2012-09-28,2012,47
hard candy,2006-04-14,2006,58
ripd,2013-07-19,2013,25
role models,2008-11-07,2008,61
y tu mama tambien,2002-03-15,2002,88
dark skies,2013-02-22,2013,50
brothers grimm,2005-08-26,2005,51
black dahlia,2006-09-15,2006,49
dogville,2004-03-26,2004,60
toni erdmann,2016-12-25,2016,93
darkman,1990-08-24,1990,65
promise,2017-04-21,2017,49
scoobydoo,2002-06-14,2002,35
season of the witch,2011-01-07,2011,28
one direction this is us,2013-08-30,2013,49
open range,2003-08-15,2003,67
house at the end of the street,2012-09-21,2012,31
white chicks,2004-06-23,2004,41
hoodwinked,2005-12-16,2005,45
baby mama,2008-04-25,2008,55
omen,2006-06-06,2006,43
hustle flow,2005-07-22,2005,68
steamboy,2005-03-18,2005,66
faster,2010-11-24,2010,44
homefront,2013-11-27,2013,40
underdog,2007-08-03,2007,37
glitter,2001-09-21,2001,14
little man,2006-07-14,2006,26
bridges of madison county,1995-06-02,1995,66
girl interrupted,1999-12-21,1999,51
suzhou river,2000-11-08,2000,76
johnny english strikes again,2018-10-26,2018,39
ever after,1998-07-31,1998,66
uninvited,2009-01-30,2009,43
reign of fire,2002-07-12,2002,39
meeks cutoff,2011-04-08,2011,85
thousand words,2012-03-09,2012,26
gothika,2003-11-21,2003,38
backup plan,2010-04-23,2010,34
license to wed,2007-07-03,2007,25
drillbit taylor,2008-03-21,2008,41
good german,2006-12-15,2006,49
certain women,2016-10-14,2016,82
crazybeautiful,2001-06-29,2001,61
eraser,1996-06-21,1996,56
along came a spider,2001-04-06,2001,42
sympathy for mr vengeance,2005-08-19,2005,56
shack,2017-03-03,2017,32
lords of dogtown,2005-06-03,2005,56
ichi the killer,2003-05-19,2003,55
hidalgo,2004-03-05,2004,54
madeas family reunion,2006-02-24,2006,45
sita sings the blues,2009-12-25,2009,93
love witch,2016-11-11,2016,82
practical magic,1998-10-16,1998,46
beautiful girls,1996-02-09,1996,64
dora and the lost city of gold,2019-08-09,2019,63
ordinary people,1980-09-18,1980,87
us marshals,1998-03-06,1998,47
timeline,2003-11-26,2003,28
dead girl,2006-12-29,2006,65
rugrats go wild,2003-06-13,2003,38
friday after next,2002-11-22,2002,35
bad samaritan,2018-05-04,2018,42
men of honor,2000-11-10,2000,56
zombie strippers,2008-04-18,2008,45
art of the steal,2014-03-14,2014,53
christmas chronicles,2018-11-22,2018,52
blues brothers,1980-06-20,1980,60
nutty professor ii the klumps,2000-07-28,2000,38
tamara,2006-02-03,2006,34
universal soldier the return,1999-08-20,1999,24
leviathan,2013-03-01,2013,81
paul apostle of christ,2018-03-23,2018,52
video games the movie,2014-07-18,2014,40
american werewolf in paris,1997-10-31,1997,31
battle in seattle,2008-09-19,2008,54
perfect score,2004-01-30,2004,35
kidnapping mr heineken,2015-03-06,2015,33
julia,2009-05-08,2009,62
palindromes,2005-04-13,2005,53
lady,2012-04-13,2012,43
storytelling,2002-01-25,2002,50
results,2015-05-29,2015,73
miss meadows,2014-11-14,2014,43
any day now,2012-12-14,2012,60
lucky ones,2008-09-26,2008,53
first kill,2017-07-21,2017,39
of time and the city,2009-01-21,2009,81
frantic,1988-02-26,1988,66
robin hood men in tights,1993-07-28,1993,44
starbuck,2013-03-22,2013,49
sex and death 101,2008-04-04,2008,24
little death,2015-06-26,2015,46
it takes two,1995-11-17,1995,45
dark was the night,2015-07-24,2015,40
zoe,2018-07-20,2018,39
city of ghosts,2017-07-07,2017,86
wild bunch,1969-06-18,1969,95
small voices,2003-10-10,2003,58
papillon,1973-12-16,1973,58
trip,2003-05-09,2003,47
chorus line,1985-12-09,1985,46
brief interviews with hideous men,2009-09-25,2009,44
truth about emanuel,2014-01-10,2014,41
brigham city,2001-04-13,2001,62
parked,2012-11-30,2012,47
putty hill,2011-02-18,2011,78
terrors advocate,2007-10-12,2007,75
back to school,1986-06-13,1986,68
wendigo,2002-02-15,2002,63
seducing doctor lewis,2004-06-18,2004,59
karate kid part ii,1986-06-20,1986,55
exorcist iii,1990-08-17,1990,48
village of the damned,1995-04-28,1995,41
last orders,2001-12-07,2001,78
share,2019-07-27,2019,73
saboteur,1942-04-24,1942,64
i am ali,2014-10-10,2014,55
below her mouth,2017-04-28,2017,42
free ride,2014-01-10,2014,41
dark streets,2008-12-12,2008,38
alleluia,2015-07-17,2015,72
zus zo,2003-02-07,2003,50
not easily broken,2009-01-09,2009,43
12 oclock boys,2014-01-31,2014,68
steep,2007-12-21,2007,58
explorers,1985-07-12,1985,58
decoding annie parker,2014-05-02,2014,56
how stella got her groove back,1998-08-14,1998,56
evening with beverly luff linn,2018-10-19,2018,54
man named pearl,2008-07-11,2008,63
monster squad,1987-08-14,1987,61
holly,2007-11-09,2007,51
giant mechanical man,2012-04-27,2012,43
suicide squad,2016-08-05,2016,40
kingsman the secret service,2015-02-13,2015,60
truman show,1998-06-05,1998,90
jurassic park,1993-06-11,1993,68
taxi driver,1976-02-07,1976,94
battle los angeles,2011-03-11,2011,37
secret life of walter mitty,2013-12-25,2013,54
insidious,2011-04-01,2011,52
kingsman the golden circle,2017-09-22,2017,44
fantastic four rise of the silver surfer,2007-06-15,2007,45
mission impossible,1996-05-22,1996,59
superman ii,1981-06-19,1981,87
southpaw,2015-07-24,2015,57
panic room,2002-03-29,2002,65
gi joe the rise of cobra,2009-08-07,2009,32
lawless,2012-08-29,2012,58
blind side,2009-11-20,2009,53
robocop,1987-07-17,1987,67
seven pounds,2008-12-19,2008,36
stardust,2007-08-10,2007,66
click,2006-06-23,2006,45
love and other drugs,2010-11-24,2010,55
run all night,2015-03-13,2015,59
resident evil extinction,2007-09-21,2007,41
indiana jones and the temple of doom,1984-05-23,1984,57
dragonball evolution,2009-04-10,2009,45
max payne,2008-10-17,2008,31
knock knock,2015-10-09,2015,53
13 hours the secret soldiers of benghazi,2016-01-15,2016,48
gamer,2009-09-04,2009,27
all is lost,2013-10-18,2013,87
forgotten,2004-09-24,2004,43
blended,2014-05-23,2014,31
in the heart of the sea,2015-12-11,2015,47
age of adaline,2015-04-24,2015,51
jigsaw,2017-10-27,2017,39
next three days,2010-11-19,2010,52
millers crossing,1990-10-05,1990,66
greenberg,2010-03-19,2010,76
bottle rocket,1996-02-21,1996,66
last song,2010-03-31,2010,33
changing lanes,2002-04-12,2002,69
frequency,2000-04-28,2000,67
house of sand and fog,2003-12-19,2003,71
surfs up,2007-06-08,2007,64
butch cassidy and the sundance kid,1969-10-24,1969,66
exorcism of emily rose,2005-09-09,2005,46
vow,2012-02-10,2012,43
superhero movie,2008-03-28,2008,33
fall,2008-05-09,2008,64
my bloody valentine,2009-01-16,2009,51
prince of egypt,1998-12-18,1998,64
last vegas,2013-11-01,2013,48
kpax,2001-10-26,2001,49
diary of a teenage girl,2015-08-07,2015,87
beverly hills cop,1984-12-05,1984,64
ghost ship,2002-10-25,2002,28
21 and over,2013-03-01,2013,34
all good things,2010-12-03,2010,57
road to el dorado,2000-03-31,2000,51
what happens in vegas,2008-05-09,2008,36
hunt for red october,1990-03-02,1990,58
unborn,2009-01-09,2009,30
bewitched,2005-06-24,2005,34
this is where i leave you,2014-09-19,2014,44
hard ball,2001-09-14,2001,48
devils double,2011-07-29,2011,52
friday,1995-04-26,1995,54
here comes the boom,2012-10-12,2012,40
arlington road,1999-07-09,1999,65
coach carter,2005-01-14,2005,57
jafar panahis taxi,2015-10-02,2015,91
hatchet,2007-09-07,2007,57
regression,2016-02-05,2016,32
flyboys,2006-09-22,2006,47
red lights,2012-07-13,2012,36
while you were sleeping,1995-04-21,1995,67
tuck everlasting,2002-10-11,2002,66
after,2019-04-12,2019,30
how to lose a guy in 10 days,2003-02-07,2003,45
chiraq,2015-12-04,2015,77
dear frankie,2005-03-04,2005,63
wish upon,2017-07-14,2017,32
everything is illuminated,2005-09-16,2005,58
hudsucker proxy,1994-03-11,1994,53
maniac,2013-06-21,2013,47
invisible,2007-04-27,2007,36
equals,2016-07-15,2016,43
aftershock,2013-05-10,2013,39
glory road,2006-01-13,2006,58
canyons,2013-08-02,2013,36
seeking justice,2012-03-16,2012,38
taxi,2004-10-06,2004,27
tiny furniture,2010-11-12,2010,72
over her dead body,2008-02-01,2008,30
why did i get married too,2010-04-02,2010,43
next friday,2000-01-12,2000,41
keeping mum,2006-09-15,2006,53
flashdance,1983-04-15,1983,39
fun size,2012-10-26,2012,37
extraordinary measures,2010-01-22,2010,45
secret life of bees,2008-10-17,2008,57
nine 12 weeks,1986-02-21,1986,50
lebanon,2010-08-06,2010,85
remember,2016-03-11,2016,52
amelia,2009-10-23,2009,37
13,2011-10-28,2011,29
truth about cats dogs,1996-04-26,1996,64
nurse 3d,2014-02-07,2014,29
rock dog,2017-02-24,2017,48
hard rain,1998-01-16,1998,36
we the animals,2018-08-17,2018,83
adventures of rocky bullwinkle,2000-06-30,2000,36
high flying bird,2019-02-08,2019,78
private parts,1997-03-07,1997,67
girl most likely,2013-07-19,2013,38
dick,1999-08-04,1999,65
creation,2010-01-22,2010,51
catch that kid,2004-02-06,2004,33
walking out,2017-10-06,2017,79
man with the golden gun,1974-12-20,1974,43
